X=1040.340 Y=-1044.743 Z=1069.048;
X=1196.980 Y=836.314 Z=1219.627;
X=574.071 Y=-1520.594 Z=1200.853;
X=-2022.181 Y=90.682 Z=978.703;
X=-637.548 Y=184.966 Z=1089.492;
X=-897.183 Y=-1549.032 Z=962.100;
X=670.279 Y=817.392 Z=1157.311;
X=1178.552 Y=-1522.617 Z=956.914;
X=-565.288 Y=-936.787 Z=998.127;
X=-1118.654 Y=563.142 Z=1171.488;
X=-2024.173 Y=-1575.939 Z=1195.518;
X=281.957 Y=86.909 Z=1094.537;
X=1064.911 Y=1591.627 Z=1003.594;
X=995.805 Y=-1565.275 Z=1189.946;
X=-1751.774 Y=346.682 Z=962.337;
X=-316.215 Y=-1674.762 Z=1211.770;
X=855.683 Y=-479.749 Z=1062.606;
X=-862.526 Y=406.512 Z=1214.617;
X=-1213.328 Y=-1142.527 Z=1013.878;
X=945.376 Y=1771.062 Z=975.855;
X=-748.096 Y=1487.225 Z=1214.063;
X=631.804 Y=1436.145 Z=1183.090;
X=1657.854 Y=-894.238 Z=1021.419;
X=-779.640 Y=1054.962 Z=1137.104;
X=-618.580 Y=-1433.856 Z=1110.393;
X=1252.306 Y=565.166 Z=1216.498;
X=-1302.481 Y=-957.787 Z=1220.067;
X=-1189.213 Y=776.977 Z=989.698;
X=810.857 Y=4.438 Z=969.377;
X=1818.603 Y=-405.974 Z=1055.126;
X=-1071.214 Y=-1453.982 Z=1043.217;
X=235.804 Y=8.922 Z=1084.913;
X=-553.666 Y=-1670.332 Z=1129.079;
X=-54.193 Y=1218.100 Z=961.652;
X=1741.901 Y=-559.978 Z=1125.950;
X=-795.371 Y=1026.250 Z=1071.105;
X=-746.851 Y=-390.770 Z=989.206;
X=501.229 Y=-988.304 Z=1238.893;
X=1457.965 Y=128.582 Z=1180.075;
X=421.041 Y=1427.723 Z=1111.923;
X=705.725 Y=-470.725 Z=1145.797;
X=-1096.034 Y=781.242 Z=1109.084;
X=-983.970 Y=-1515.671 Z=1076.080;
