X=-1079.515 Y=-94.300 Z=1150.147;
X=-293.553 Y=672.083 Z=1013.843;
X=1293.521 Y=1312.931 Z=1090.925;
X=-1602.771 Y=1378.503 Z=1063.924;
X=70.488 Y=-18.009 Z=1019.107;
X=1328.676 Y=-1129.183 Z=1017.578;
X=1479.091 Y=327.924 Z=1168.535;
X=-2076.552 Y=-1279.359 Z=1179.240;
X=332.718 Y=1643.198 Z=1231.686;
X=-1205.110 Y=372.824 Z=1101.472;
X=280.422 Y=-1070.173 Z=1200.185;
X=1551.891 Y=-363.644 Z=984.205;
X=1391.847 Y=502.656 Z=986.886;
X=545.266 Y=373.972 Z=1215.118;
X=-1487.635 Y=1319.275 Z=1019.731;
X=-1237.442 Y=-1323.767 Z=1133.632;
X=108.632 Y=-1604.760 Z=978.035;
X=-740.418 Y=524.969 Z=1112.608;
X=436.481 Y=-45.134 Z=968.560;
X=-56.310 Y=339.190 Z=981.902;
X=1515.864 Y=-1505.116 Z=1242.189;
X=912.794 Y=958.053 Z=1008.261;
X=-735.396 Y=-18.118 Z=1149.418;
X=-1321.034 Y=852.010 Z=1035.640;
